first,last,house
Bell,Katie,Gryffindor
Brown,Lavender,Gryffindor
Creevey,Colin,Gryffindor
Creevey,Dennis,Gryffindor
Finnigan,Seamus,Gryffindor
Granger,Hermione,Gryffindor
Johnson,Angelina,Gryffindor
Jordan,Lee,Gryffindor
Longbottom,Neville,Gryffindor
Lupin,Remus,Gryffindor
McGonagall,Minerva,Gryffindor
Midgen,Eloise,Gryffindor
McLaggen,Cormac,Gryffindor
Patil,Padma,Gryffindor
Patil,Parvati,Gryffindor
Potter,Harry,Gryffindor
Robins,Demelza,Gryffindor
Spinnet,Alicia,Gryffindor
Thomas,Dean,Gryffindor
Vane,Romilda,Gryffindor
Weasley,Fred,Gryffindor
Weasley,George,Gryffindor
Weasley,Ginny,Gryffindor
Weasley,Percy,Gryffindor
Weasley,Ron,Gryffindor
Wood,Oliver,Gryffindor
Abbott,Hannah,Hufflepuff
Bones,Susan,Hufflepuff
Diggory,Cedric,Hufflepuff
Finch-Fletchley,Justin,Hufflepuff
Macmillan,Ernie,Hufflepuff
Scamander,Newt,Hufflepuff
Smith,Zacharias,Hufflepuff
Sprout,Pomona,Hufflepuff
Boot,Terry,Ravenclaw
Chang,Cho,Ravenclaw
Clearwater,Penelope,Ravenclaw
Edgecombe,Marietta,Ravenclaw
Goldstein,Anthony,Ravenclaw
Lovegood,Luna,Ravenclaw
Warren,Myrtle,Ravenclaw
Bulstrode,Millicent,Slytherin
Crabbe,Vincent,Slytherin
Goyle,Gregory,Slytherin
Malfoy,Draco,Slytherin
Malfoy,Scorpius,Slytherin
Montague,Graham,Slytherin
Nott,Theodore,Slytherin
Parkinson,Pansy,Slytherin
Riddle,Tom,Slytherin
Slughorn,Horace,Slytherin
Snape,Severus,Slytherin
Zabini,Blaise,Slytherin
